subject,property,current_or_latest,start_time
Andy_Duncan_(basketball),position,,
Izabella_Poniatowska,spouse,,
Joseph_E._Brown,party,,
Anne_Neville,spouse,,
Aaron_Robison,nationality,,
Kim_Il-ung,party,,
Alexander_Shabalov,country,,
Leonid_Kravchuk,party,Social Democratic Party of Ukraine (united),1994
Magnus_Egerstedt,nationality,,
Andrew_Cave-Brown,position,,
Ferdinand_Friedensburg,party,,
Reuben_Noble-Lazarus,position,,
Manuel_de_Arriaga,party,,
Artem_Karpets,nationality,,
Vladimir_Volkov,position,,
Samuel_Smith_(Maryland),party,,
Sylven_Landesberg,position,,
Sohail_Asif_Qureshi,nationality,,
Edwin_Blunt,position,,
Tomoya_Ugajin,position,,
Yury_Shulman,country,,
George_Dygert,position,,
Henry_Crathorne,nationality,,
Xavi_Rabaseda,position,,
Roseanne_Barr,spouse,,
Maksimilijan_Vanka,nationality,,
Matt_Robson,party,Progressive,2002
Jaydy_Michel,spouse,,
James_David_Santini,party,Republican Party (United States),1986
Lou_Adler,spouse,,
Vigor_Brown,party,New Zealand Reform Party,1920
Tasso_Koutsoukos,position,,
Gurbanguly_Berdimuhamedow,party,Independent politician,2013
Billy_Graham,party,Independent politician,2013
Katerina_Rohonyan,country,,
John_Robison_(inventor),country,,
Donnavan_Carter,position,,
Archelaus_Smith,nationality,,
Anjo_Yllana,party,United Nationalist Alliance,2012
Genrikh_Lyushkov,nationality,,
Campbell_Christie,country,,
Jennifer_Aniston,spouse,,
Jerome_Lane,position,,
Joao_Plata,position,,
Hilton_Armstrong,position,,
Gideon_Welles,party,,
Jarno_Heinikangas,position,,
Miguel_Davis,position,,
Juan_Max_Boettner,nationality,,
Paul_Filing,party,Independent,1995
Gail_Chanfreau,country,,
Walker_Hamilton,country,,
Nyasha_Mushekwi,position,,
Edgar_Gess,position,,
Hank_Henry_(soccer),position,,
Sergei_Smorgachyov,position,,
Buddy_Parker,position,,
Bob_Doll,position,,
Lorenzo_Poli,position,,
Calvin_Bird,position,,
Hasyim_Kipuw,position,,
John_McCook,spouse,,
Ganesh_Naik,party,Nationalist Congress Party,1999
Horace_Maynard,party,,
Anton_Bocharov,position,,
Vyacheslav_Ivanovich_Silin,nationality,,
T._S._Eliot,spouse,Valerie Eliot,1957
Otto_Grotewohl,party,,
Louise_de_Coligny,spouse,,
Yang_Xian,country,,
Quincy_Davis_(basketball),position,,
Ramy_Rabia,position,,
Chaturon_Chaisang,party,Pheu Thai Party,2011
Stevens_Gould,position,,
William_M._Olin,country,,
Nelson_Mandela,spouse,,
Lebogang_Morula,position,,
William_Temple_(governor),party,,
George_McLachlan,position,,
Emperor_Yang_of_Sui,spouse,,
Chris_Jones_(Canadian_football_coach),position,,
Bruce_Eastick,party,,
Samuel_W._Small,party,,
Ihar_Tarlowski,position,,
Reuben_H._Walworth,party,Democratic Party (United States),1828
Moses_Machali,party,,
Maurie_Sheehy,party,,
Mario_Mauro,party,Populars for Italy,2014
encode-err,encode-err,encode-err,encode-err
Sergei_Chudin,position,,
E'Twaun_Moore,position,,
Manuel_Zamora,party,Laban,2016
Marcel_Tomazover,position,,
Mick_Connaboy,position,,
Geert_Wilders,party,,
Simcha_Jacobovici,nationality,,
Ricky_Hickman,position,,
John_Shaw_(broadcaster),nationality,,
Bess_Thomas,nationality,,
Jim_Spanarkel,position,,
Antonio_Guayre,position,,
George_Galloway,party,Independent,2016
Husein_Mehmedov,nationality,,
Gabriele_D'Annunzio,party,Italian Nationalist Association,1910
Dave_Pountney,position,,
Elwin_Hermanson,party,,
John_Leverett,country,,
Othmar_Karas,party,,
Colleen_Williams_(soccer),position,,
Stockard_Channing,spouse,,
Licio_Gelli,party,,
Malusi_Gigaba,party,Before 1990,1990
John_Arcudi,nationality,,
Hugo_Hickmann,party,,
Richard_Vary_Campbell,country,,
Vladimir_Bluzhin,position,,
Guy_Scott,party,Patriotic Front (Zambia),2001
Stepan_Yurchyshyn,position,,
Agnes_of_Germany,spouse,,
Cedric_Bozeman,position,,
Ken_Murphy,position,,
Gregor_Arbet,position,,
Lomana_LuaLua,position,,
Paulo_Retre,position,,
Dexter_Strickland,position,,
Eng_Mohamed_Isse_Lacle,party,Horseed (political party),2013
Luca_Spinetti,position,,
Kendall_Johnson,position,,
Isaiah_D._Clawson,party,,
Iheanyi_Uwaezuoke,position,,
Robert_William_Boyle,nationality,,
Paul_Stalteri,position,,
Roy_Samaha,position,,
William_Thomas_(Gwilym_Marles),country,,
Jared_Homan,position,,
Bill_Morrow_(Australian_politician),party,Independent,1953
Akinori_Mikami,position,,
Hristo_Zlatanov,nationality,,
George_Rockingham_Gilmer,party,,
John_Mackintosh_Howie,country,,
Jeanne_Moreau,spouse,,
Nomvula_Mokonyane,party,,
Wayne_Johnston_(writer),nationality,,
Manuel_Belgrano,party,,
Marko_Livaja,position,,
Emperor_Xuanzong_of_Tang,spouse,,
Andrey_Aleksanenkov,position,,
Elizabeth_Chamber,spouse,,
Gustav_Siemon,party,,
W._J._Gruffydd_(Elerydd),country,,
Daviz_Simango,party,Democratic Movement of Mozambique,2009
Madeleine_de_Pinot_des_Fontaines,nationality,,
Kristine_Hermosa,spouse,,
Maud_de_Prendergast,spouse,,
Lucy_Ann_Johnson,nationality,,
John_Stewart_(Western_Australian_politician),party,Liberal,1917
Mark_Zuckerberg,spouse,,
Balu_Mahendra,spouse,,
Abraham_Andrews_Barker,party,Prohibition Party,1876
Stephen_Starring,position,,
Eva_Henning,spouse,,
Rana_Iqbal_Ahmad_Khan,party,,
Nasreddin_Murat-Khan,nationality,,
Manono_II,spouse,,
Coralie_Rose,nationality,,
Robert_Boal,party,,
Hermann_Winkler,party,,
Camillo_Ballin,nationality,,
Luther_Bradish,party,,
Richard_Kerrin,country,,
Tommaso_Colombaretti,position,,
Mike_Todd,spouse,,
Matt_Caution,position,,
Harry_Davenport_(actor),spouse,,
Gary_Brazil,position,,
Pilar_Brabo,party,,
Bert_Linnecor,position,,
Louis_Botha,country,,
James_MacCash,country,,
Murad_Ramazanov_(footballer),position,,
Valeri_Matyunin,position,,
Nurullah_Kaya,position,,
Mike_Riordan,position,,
Choi_Sung-yong,position,,
Myles_Frechette,country,,
Murdoch_Mackenzie_(cartographer),country,,
Silvia_Pinal,spouse,,
Frederick_Augustus_II_of_Saxony,spouse,,
John_Josias_Conybeare,nationality,,
Fahad_Al-Dossari,position,,
Salih_Hulusi_Pasha,nationality,Turkey,1922
Sultan_Ahmed_(politician),party,,
Michael_Laxer,party,,
B._B._Gurung,party,,
Jack_Lang_(Australian_politician),party,,
Terry_Gill,nationality,,
Kevin_Langford,position,,
Charles_K._Kao,nationality,,
Jason_Armstead,position,,
Luis_Villafuerte,party,Nationalist Peoples Coalition,2009
Pavlo_Shkapenko,position,,
Samardo_Samuels,position,,
Edward_P._Weed,spouse,Sophia A. Lynes,1839
Patrick_Pakingham,nationality,,
Fran_Jeffries,spouse,,
Reginald_Parker_(footballer),position,,
Toomas_Hendrik_Ilves,party,Before 2006,2006
Russell_Shaw,position,,
Zbigniew_Sawan,spouse,,
Damian_Scannell,position,,
Ryan_Goins,position,,
David_Lewis_(politician),party,,
Sam_Houston,country,,
Ho_Chi_Minh,nationality,,
Itaparica_(footballer),position,,
William_Cabell_Rives,party,,
Bruce_Davison,spouse,,
Kenneth_Morris_(author),country,,
Maksim_Putilin,position,,
Ryan_Gardner,position,,
Harry_Anastasiou,nationality,,
James_Main_Dixon,country,,
Andreas_Lipa,position,,
Lyle_Oberg,party,Wildrose,2011
Martin_Ruby,position,,
Norman_Theuerkauf,position,,
Olga_Levina_(draughts_player),nationality,,
Peter_Strauss,spouse,,
Vyacheslav_Marushko,position,,
Vilho_Annala,party,,
Hetepheres_II,spouse,,
Haydn_Price,position,,
Cornelis_Apostool,nationality,,
Val_Fernandes,position,,
William_Craig_(Northern_Ireland_politician),party,,
Mark-Peter_Hof,position,,
Tatiana_Samoilova,spouse,,
Utako_Wakamatsu,country,,
Emil_Lyng,position,,
Michael_Scott_(novelist),country,,
Lidia_Istrati,nationality,,
Horace_Plunkett,party,,
Otto_Magnus_von_Stackelberg_(archaeologist),nationality,,
Bertie_Johnston,party,Country,1917
Kevin_Jobling,position,,
Beatrice_Lorenzin,party,New Centre-Right,2013
Mary_Reid_Macarthur,country,,
Morgan_Llwyd,country,,
Lourdes_Flores,party,,
Guido_Westerwelle,party,,
Vassilis_Symtsak,position,,
John_Grigas,position,,
Benay_Venuta,spouse,,
Thomas_Ryum_Amlie,party,,
Danni_Boatwright,spouse,,
Janice_Atkinson,party,Independent,2015
Sergei_Ryzhikh,position,,
David_Pratt_(footballer),position,,
Matthew_Dellavedova,position,,
James_Patton_Anderson,country,,
Georgios_Eleftheriou,position,,
Gabriel_Florea,position,,
John_Challis,spouse,,
Douglas_Silva_Delfino,position,,
Henner_Henkel,country,,
David_Concha,position,,
William_Hebard,party,,
Dessie_Baker,position,,
Hugh_Marlowe,spouse,,
Stephen_Philbin,position,,
Fred_J._White,party,,
Henry_Cabot_Lodge_Jr.,country,,
