subject,property,current_or_latest,start_time
Ashton_Dearholt,spouse,Florence_Gilbert,1926-01-01T00:00:00Z
Francis_Bridger,country,,
Kenneth_Mapp,party,Independent_politician,2001-01-01T00:00:00Z
Arnold_Cassola,party,,
Hussein_of_Jordan,spouse,,
H._A._Sinclair_de_Rochemont,party,,
George_Ryerson,party,,
John_Francis_Campbell,country,,
Hermione_Gingold,spouse,Eric_Maschwitz,1926-01-01T00:00:00Z
Peter_Buchan,country,,
Edgar_Nelson_Rhodes,party,,
Igor_Vasilyevich_Ivanov,country,,
Lingaraj_(social_activist),party,,
Eric_Brereton,country,,
Farah_(actress),spouse,Sumeet_Saigal,2007-01-01T00:00:00Z
Kanu_Kalsaria,party,Aam_Aadmi_Party,2014-01-01T00:00:00Z
Kenneth_Ives,spouse,Marti_Caine,1984-01-01T00:00:00Z
Anna_of_Saxe-Wittenberg,spouse,,
Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach,spouse,"John_Frederick,_Margrave_of_Brandenburg-Ansbach",1681-01-01T00:00:00Z
Lisa_Harrow,spouse,,
John_Singleton_(Australian_entrepreneur),party,,
Matthias_Groote,party,,
Amasa_Cobb,country,,
Emil_Jannings,spouse,Gussy_Holl,1923-01-01T00:00:00Z
William_Urry,country,,
Victor_Wesley,country,,
Wong_Ho_Leng,party,,
Abe_Landa,party,,
Raila_Odinga,party,,
Fatma_Sultan_(daughter_of_Ahmed_I),spouse,,
Onorato_Damen,party,,
Paul_Gobeil,spouse,,
Otto_Franke,party,,
Nicolae_Fleva,party,,
Dolores_Dorn,spouse,Ben_Piazza,1967-01-01T00:00:00Z
Sally_McNair,country,,
James_I_of_Aragon,spouse,Eleanor_of_Castile_(died_1244),1221-01-01T00:00:00Z
Hilbrand_Nawijn,party,,
Enoch_Lincoln,party,,
Tommy_Robinson_(activist),party,,
George_Mathews_(Georgia),country,,
Alexander_Gordon_(general),country,,
Venetia_Stevenson,spouse,Russ_Tamblyn,1956-02-14T00:00:00Z
Thomas_S._Pettit,party,,
Stepan_Pogosyan,party,,
Ulric_Haynes,country,,
Louis_Calhern,spouse,Natalie_Schafer,1933-01-01T00:00:00Z
Yevhen_Neronovych,party,,
Martinus_Theunis_Steyn,party,,
Montford_McGehee,party,,
Hannah_Williams_(actress),spouse,,
Tim_Fischer,country,,
Gerald_J._Boileau,party,,
Lynda_Carter,spouse,Robert_A._Altman,1984-01-29T00:00:00Z
John_Rey_Tiangco,party,,
Maya_Ali_(politician),party,,
Beatriz_Luengo,spouse,Yotuel_Romero,2008-01-01T00:00:00Z
Hal_Perry_(politician),party,,
Alistair_Campbell_(poet),spouse,,
Edward_King_(jurist),party,,
Kelly_Lamrock,party,,
Richard_Howitt_(politician),party,,
Svetlana_Pristav,country,,
Brett_Mason,party,,
Amelia_Heinle,spouse,Thad_Luckinbill,2007-01-01T00:00:00Z
Henry_IV_of_France,spouse,Marie_de'_Medici,1600-10-05T00:00:00Z
Sam_Houston,party,,
Francis_Thomas,party,,
Russell_Paulley,party,,
Joachim_Zeller,party,,
Moshe_Czerniak,country,,
Emmanuel_Dangana_Ocheja,party,,
Chad_Michael_Murray,spouse,Sarah_Roemer,2015-01-01T00:00:00Z
T._Harri_Jones,country,,
Milla_Jovovich,spouse,Paul_W._S._Anderson,2009-08-22T00:00:00Z
Roy_Jenkins,party,,
Bob_Dylan,spouse,Carolyn_Dennis,1986-06-04T00:00:00Z
Emanuelis_Zingeris,party,,
Lockhart_Muirhead,country,,
Jean_Seberg,spouse,Dennis_Berry_(director),1972-01-01T00:00:00Z
Russell_W._Peterson,party,,
Monique_Roy_Verville,party,,
Phil_Williamson,country,,
Ivan_Scalfarotto,party,,
Frank_Dennhardt,country,,
Sven_Mikser,party,,
Blanche_Sweet,spouse,Raymond_Hackett,1935-01-01T00:00:00Z
Frank_McPhee,country,,
Michel_Aflaq,party,,
Jennifer_Rankine,party,,
Peter_Karran,party,,
Maud_Marshal,spouse,,
Moses_H._Kirby,party,,
Richard_Cyril_Hughes,country,,
Hussein_Khairan,country,,
George_XI_of_Kartli,spouse,,
Nancy_Halliday_Ely-Raphel,spouse,,
Littleton_Waller_Tazewell,party,,
Kirk_Douglas,spouse,Anne_Buydens,1954-05-29T00:00:00Z
Yevgeny_Dzhugashvili,party,,
John_Sprott,country,,
John_P._Jones,party,,
Sam_Calder,party,,
Philip_II_of_Spain,spouse,Elisabeth_of_Valois,1559-01-01T00:00:00Z
Dimitri_Jorjadze,spouse,Sylvia_Ashley,1954-01-01T00:00:00Z
James_Fisher_Robinson,party,,
Charles_Lloyd_(priest),country,,
William_Leonard_Courtney,country,,
Ronald_Webster,party,,
William_Craigie,country,,
Yevgeniya_Simonova,spouse,,
James_Hume_Cook,party,,
Helmut_Brandt_(CDU_politician_in_East_Germany),party,,
Claude_Goasguen,party,,
Ryan_de_Vreede,country,,
Denise_McAdam,country,,
Zaynab_bint_Jahsh,spouse,Muhammad,0627-01-01T00:00:00Z
Bernard_McKenna_(writer),country,,
Billy_Tauzin,party,,
Catherine_Hickland,spouse,Todd_Fisher,2012-12-22T00:00:00Z
Frederick_Heiskell,party,,
Norman_Magnus_MacLeod_of_MacLeod,country,,
Paul_Morris_(writer),country,,
Aql_Hashem,country,,
Alexander_Lebed,country,,
Ramiz_Alia,party,,
James_F._Simmons,party,,
Luis_Miquilena,party,,
Bertha_of_Burgundy,spouse,,
Chris_Bartlett_(writer),country,,
James_Barbour,party,,
Rob_Ford,party,,
John_M._Palmer_(politician),party,,
Chuck_Cadman,party,,
Aurelio_Caicedo_Ayerbe,country,,
John_C._Clark,party,,
Sansa_Stark,spouse,,
Empress_Matilda,spouse,"Henry_V,_Holy_Roman_Emperor",1114-01-01T00:00:00Z
Polly_Bergen,spouse,Freddie_Fields,1956-01-01T00:00:00Z
John_A._Gamble,party,,
Frederick_I_of_Prussia,spouse,,
Eugene_Foss,party,,
Ethel_Clayton,spouse,Ian_Keith,1928-01-01T00:00:00Z
Na_Gyung-che,party,,
Veltto_Virtanen,party,,
Abraham_Shek,party,,
Janusz_Ostrogski,spouse,Katarzyna_Lubomirska,1597-01-01T00:00:00Z
Morrison_Waite,party,,
Darshan_Singh_Pheruman,party,,
Thomas_Clayton,party,,
Bruce_Douglas-Mann,party,,
Sergio_Berlinguer,party,,
Viktor_Yanukovych,party,Party_of_Regions,2000-01-01T00:00:00Z
Carey_Lowell,spouse,Richard_Gere,2002-01-01T00:00:00Z
Leland_Beloff,party,,
John_Cameron_(farmer),country,,
Gottfried_von_Cramm,country,,
Tom_Cruise,spouse,Katie_Holmes,2006-11-28T00:00:00Z
Mieszko_III_the_Old,spouse,,
Lisa_Bonet,spouse,Jason_Momoa,2007-11-15T00:00:00Z
Pravin_Gordhan,party,,
Thomas_Drummond_(judge),party,,
David_Catania,party,,
Marleen_de_Pater-van_der_Meer,party,,
Thomas_Milner_Gibson,party,,
Zbigniew_Hoffmann,party,,
Andrew_Brewin,party,,
Emily_McLaughlin,spouse,Jeffrey_Hunter,1969-01-01T00:00:00Z
Samuel_C._Crafts,party,,
Hermann_Strathmann,party,,
Rhys_Cain,country,,
Salin_Mibaya,spouse,,
Franco_Cristaldi,spouse,Zeudi_Araya,1983-01-01T00:00:00Z
Arne_Strand,party,,
John_W._Howe,party,,
Mehmed_the_Conqueror,spouse,,
Murad_I,spouse,Kera_Tamara,1370-01-01T00:00:00Z
Chan_Kwok-keung,party,,
Marcelo_Fernan,party,,
Diana_Wallis,party,,
James_B._Weaver,party,,
Harry_Hasso,spouse,Britta_Hasso,1961-01-01T00:00:00Z
Lord_Lieutenant_of_Aberdeenshire,country,,
Debrah_Farentino,spouse,Gregory_Hoblit,1994-01-01T00:00:00Z
Amir-Abbas_Hoveyda,party,,
Giancarlo_Pagliarini,party,,
George_Mardikian,country,,
Bruce_Rowe,party,,
Gwendolyn_Garcia,party,,
Francis_Tolentino,party,,
Andrew_L._Harris,country,,
John_H._Clifford,party,,
Thein_Sein,party,,
Princess_Maria_of_Greece_and_Denmark,spouse,Perikles_Ioannidis,1922-12-16T00:00:00Z
Eric_Harrison,party,,
William_Watson_(writer),country,,
Prince_Johann_Georg_of_Saxony,spouse,,
Tilly_Losch,spouse,"Henry_Herbert,_6th_Earl_of_Carnarvon",1939-01-01T00:00:00Z
Stuart_MacGregor,country,,
Geert_Bourgeois,party,New_Flemish_Alliance,2001-01-01T00:00:00Z
Piotr_Jaroszewicz,party,,
Shirley_Jones,spouse,Marty_Ingels,1977-01-01T00:00:00Z
William_K._Bond,party,,
Henry_Gullett,party,,
Frans_Andriessen,party,,
Benoit_Charette,party,,
Thomas_Charteris,country,,
Ra'ana_Liaquat_Ali_Khan,party,,
Jack_Duncan-Hughes,party,,
Ottokar_II_of_Bohemia,spouse,,
Lim_Keng_Yaik,party,,
Ramazan_Abdulatipov,party,,
Robert_II_of_France,spouse,,
Cristian_Preda,party,,
Iorwerth_Peate,country,,
Armin_Laschet,party,,
