subject,property,current_or_latest,start_time
Waterfront_station_(Vancouver),owner,,
Midford_railway_station,owner,,
Gorgie_East_railway_station,owner,,
Waterbury_Branch,owner,,
Shelu_railway_station,owner,,
AIA_Central,owner,,
Gare_de_Benfeld,owner,,
Goreway_Power_Station,owner,,
Gare_d'Heilles-Mouchy,owner,,
Slinfold_railway_station,owner,,
Cement_Mills_Halt_railway_station,owner,,
Brookfield_Place_(Toronto),owner,,
Nungambakkam_railway_station,owner,,
Groves_Stadium_(1940),owner,,
Meenambakkam_railway_station,owner,,
LUMINA,owner,,
Ryburgh_railway_station,owner,,
707_17th_Street,owner,,
Halwill_Junction_railway_station,owner,,
Birkenhead_Dock_Branch,owner,,
Blackfriars_station,owner,,
Padstow_(Cornwall)_railway_station,owner,,
Piershill_railway_station,owner,,
Bungay_railway_station,owner,,
Elvaston_Castle,owner,,
Passaic_(Erie_Railroad_station),owner,,
Mulund_railway_station,owner,,
Atgaon_railway_station,owner,,
Gare_de_Lyon-Perrache,owner,,
Tiruvottiyur_railway_station,owner,,
Ditton_railway_station,owner,,
Heacham_railway_station,owner,,
Kattankulathur_railway_station,owner,,
Lowjee_railway_station,owner,,
Odense_station,owner,,
Smart_Studios,owner,,
Dunsland_Cross_railway_station,owner,,
Charlton_Marshall_Halt_railway_station,owner,,
Maple_Leaf_Stadium,owner,,
Hunterston_A_nuclear_power_station,owner,,
ArcelorMittal_Orbit,owner,,
The_Gallery_at_Market_East,owner,,
Evercreech_New_railway_station,owner,,
Conisbrough_Castle,owner,,
Westfield_Broward,owner,,
Mount_Albert_Railway_Station,owner,,
Gare_de_Marseille-en-Beauvaisis,owner,,
Government_House_(Manitoba),owner,,
Sultan_Abu_Bakar_Complex,owner,,
Goregaon_railway_station,owner,,
Puchong_Perdana_LRT_Station,owner,,
Khurja_Junction_railway_station,owner,,
St._Thomas_Mount_railway_station,owner,,
Mall_of_New_Hampshire,owner,,
Grange_Road_railway_station,owner,,
Plough_Lane,owner,,
FirstMerit_Bank_Pavilion,owner,,
RAF_Mepal,owner,,
Shide_railway_station,owner,,
Gare_de_Persan-Beaumont,owner,,
Bhiwandi_railway_station,owner,,
Hat_Yai_Junction_Railway_Station,owner,,
Horsebridge_railway_station,owner,,
Calbourne_&_Shalfleet_railway_station,owner,,
Thialf,owner,,
Sopoti_Stadium,owner,,
St._Lars_restaurant,owner,,
Tiruvallur_railway_station,owner,,
Gibson_Generating_Station,owner,,
Lafayette_Square_Opera_House,owner,,
Allhallows-on-Sea_railway_station,owner,,
SS18_LRT_Station,owner,,
Duane_Arnold_Energy_Center,owner,,
West_Grinstead_railway_station,owner,,
Northeast_Corridor,owner,,
Gare_d'Ailly-sur-Noye,owner,,
Gare_de_Chaulnes,owner,,
St_Martin's_Theatre,owner,,
Breakfast_Television_Centre,owner,,
North_Wootton_railway_station,owner,,
Gare_de_Feuquerolles,owner,,
Vippetangen_Line,owner,,
Papakura_Railway_Station,owner,,
